,DivisionNumber,DivisionName,SpecNumber,SpecName,YorkSpecVersion,ETOSpecVersion,BidFormInformation
0,01,General Requirements,001000,General Requirements,York Region original Spec,Included in ETO Spec,Included but not measured separately
1,01,General Requirements,001010,Summary of Work,York Region original Spec,Included in ETO Spec,Included but not measured separately
2,01,General Requirements,001025,Measurement and Payment,York Region original Spec,Included in ETO Spec,Included but not measured separately
3,01,General Requirements,001035,Amending and Supplementing Contract Documents,York Region original Spec,Included in ETO Spec,Included but not measured separately
4,01,General Requirements,001040,Coordination,York Region original Spec,Included in ETO Spec,Included but not measured separately
5,01,General Requirements,001060,Regulatory Requirements,York Region original Spec,Included in ETO Spec,Included but not measured separately
6,01,General Requirements,001080,Process Equipment Location Tagging,York Region original Spec,Included in ETO Spec,A01.01
7,01,General Requirements,01080A,PELT Labelling Schedule,York Region original Spec,Spec Not Included,Not Applicable
8,01,General Requirements,001092,Abbreviations,York Region original Spec,Included in ETO Spec,Included but not measured separately
9,01,General Requirements,001200,Project Meetings,York Region original Spec,Included in ETO Spec,Included but not measured separately
10,01,General Requirements,01200A,Pre-Construction Meeting Agenda Template,York Region original Spec,Included in ETO Spec,Included but not measured separately
11,01,General Requirements,001250,Substitutions,York Region original Spec,Included in ETO Spec,Included but not measured separately
12,01,General Requirements,001300,Submittals,York Region original Spec,Included in ETO Spec,Included but not measured separately
13,01,General Requirements,001310,Construction Schedules,York Region original Spec,Included in ETO Spec,Included but not measured separately
14,01,General Requirements,01310A,Facility Schedule Template,York Region original Spec,Spec Not Included,Not Applicable
15,01,General Requirements,01310B,Linear Schedule Template,York Region original Spec,Spec Not Included,Not Applicable
16,01,General Requirements,001351,Health and Safety,York Region original Spec,Included in ETO Spec,Included but not measured separately
17,01,General Requirements,001400,Quality Control,York Region original Spec,Included in ETO Spec,Included but not measured separately
18,01,General Requirements,001420,References,York Region original Spec,Included in ETO Spec,Included but not measured separately
19,01,General Requirements,001425,Computerized Maintenance Management System Data Requirements,York Region original Spec,Included in ETO Spec,A01.02
20,01,General Requirements,001430,Operation and Maintenance Data,York Region original Spec,Included in ETO Spec,A01.03
21,01,General Requirements,001450,As-Built Drawings,York Region original Spec,Included in ETO Spec,Included but not measured separately
22,01,General Requirements,01450A,Declaration of Complete and Accurate As-Built Documentation,York Region original Spec,Included in ETO Spec,Included but not measured separately
23,01,General Requirements,001501,Construction Sequencing,York Region original Spec,Included in ETO Spec,Included but not measured separately
24,01,General Requirements,001505,Mobilization and Demobilization,York Region original Spec,Included in ETO Spec,A01.04
25,01,General Requirements,001520,Field Office,York Region original Spec,Included in ETO Spec,Included but not measured separately
26,01,General Requirements,001550,Traffic Control,York Region original Spec,Included in ETO Spec,A01.05
27,01,General Requirements,001551,Portable Variable Message Signs,York Region original Spec,Included in ETO Spec,Included but not measured separately
28,01,General Requirements,001561,Environmental Protection,York Region original Spec,Included in ETO Spec,Included but not measured separately
29,01,General Requirements,001600,Material and Equipment,York Region original Spec,Included in ETO Spec,Included but not measured separately
30,01,General Requirements,001640,Manufacturers Services,York Region original Spec,Included in ETO Spec,Included but not measured separately
31,01,General Requirements,001710,Pre-Construction Structural Survey,York Region original Spec,Included in ETO Spec,Included but not measured separately
32,01,General Requirements,001720,Preparation,York Region original Spec,Included in ETO Spec,Included but not measured separately
